Batch number: 28, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 27498.000000, avg_PtsChecked 25995.712300, wrst_Dist 0.177663, avg_Dist 0.000483, wrst_RelativeDist 1.055518, avg_RelativeDist 1.000121, avg_rho 0.988400, tau 928.427581, tau_other 0.001638, num_buckets 9784,ClusteringTime 0.910000,avg_SearchingTime 0.410123, wrst_SearchingTime 0.580000 
Batch number: 29, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 36741.000000, avg_PtsChecked 34508.009300, wrst_Dist 0.169833, avg_Dist 0.000603, wrst_RelativeDist 1.043864, avg_RelativeDist 1.000146, avg_rho 0.985900, tau 1189.943255, tau_other 0.001645, num_buckets 10176,ClusteringTime 0.910000,avg_SearchingTime 0.441935, wrst_SearchingTime 0.690000 
Batch number: 30, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 46006.000000, avg_PtsChecked 43050.944100, wrst_Dist 0.261434, avg_Dist 0.000874, wrst_RelativeDist 1.068136, avg_RelativeDist 1.000220, avg_rho 0.983000, tau 1435.045820, tau_other 0.001644, num_buckets 10524,ClusteringTime 0.910000,avg_SearchingTime 0.471745, wrst_SearchingTime 0.720000 
Batch number: 31, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 55266.000000, avg_PtsChecked 51506.114400, wrst_Dist 0.310068, avg_Dist 0.000966, wrst_RelativeDist 1.055950, avg_RelativeDist 1.000230, avg_rho 0.980400, tau 1661.504176, tau_other 0.001643, num_buckets 10868,ClusteringTime 1.010000,avg_SearchingTime 0.501030, wrst_SearchingTime 0.760000 
Batch number: 32, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 64573.000000, avg_PtsChecked 59990.742600, wrst_Dist 0.193383, avg_Dist 0.000883, wrst_RelativeDist 1.063349, avg_RelativeDist 1.000217, avg_rho 0.979600, tau 1874.729454, tau_other 0.001637, num_buckets 11176,ClusteringTime 0.920000,avg_SearchingTime 0.529350, wrst_SearchingTime 0.830000 
Batch number: 33, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 73827.000000, avg_PtsChecked 68535.455000, wrst_Dist 0.407317, avg_Dist 0.001127, wrst_RelativeDist 1.095163, avg_RelativeDist 1.000271, avg_rho 0.977700, tau 2076.852738, tau_other 0.001632, num_buckets 11492,ClusteringTime 0.930000,avg_SearchingTime 0.556969, wrst_SearchingTime 0.800000 
Batch number: 34, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 83134.000000, avg_PtsChecked 77042.008600, wrst_Dist 0.235351, avg_Dist 0.001082, wrst_RelativeDist 1.051833, avg_RelativeDist 1.000268, avg_rho 0.976100, tau 2265.964089, tau_other 0.001625, num_buckets 11789,ClusteringTime 1.010000,avg_SearchingTime 0.588329, wrst_SearchingTime 0.850000 
Batch number: 35, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90608.000000, avg_PtsChecked 83750.295200, wrst_Dist 0.240907, avg_Dist 0.001262, wrst_RelativeDist 1.065567, avg_RelativeDist 1.000439, avg_rho 0.957500, tau 2392.889506, tau_other 0.001611, num_buckets 12032,ClusteringTime 0.760000,avg_SearchingTime 0.613768, wrst_SearchingTime 0.880000 
Batch number: 36, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90608.000000, avg_PtsChecked 83865.348400, wrst_Dist 0.212393, avg_Dist 0.002465, wrst_RelativeDist 1.052261, avg_RelativeDist 1.001275, avg_rho 0.870500, tau 2329.616307, tau_other 0.001567, num_buckets 12032,ClusteringTime 0.000000,avg_SearchingTime 0.617520, wrst_SearchingTime 0.820000 
Batch number: 37, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 90772.000000, avg_PtsChecked 84124.440300, wrst_Dist 0.285194, avg_Dist 0.003633, wrst_RelativeDist 1.117931, avg_RelativeDist 1.002008, avg_rho 0.797400, tau 2273.656258, tau_other 0.001524, num_buckets 12032,ClusteringTime 0.020000,avg_SearchingTime 0.624357, wrst_SearchingTime 0.980000 
