Batch number: 31, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 259909.000000, avg_PtsChecked 194173.519000, wrst_Dist 12.293060, avg_Dist 0.001414, wrst_RelativeDist 1.616957, avg_RelativeDist 1.000143, avg_rho 0.999300, tau 6263.724540, tau_other 0.005008, num_buckets 2760,ClusteringTime 0.029272,avg_SearchingTime 0.085347, wrst_SearchingTime 0.096541 
Batch number: 32, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 269012.000000, avg_PtsChecked 202245.611600, wrst_Dist 0.641267, avg_Dist 0.000196, wrst_RelativeDist 2.261669, avg_RelativeDist 1.000307, avg_rho 0.999600, tau 6320.238565, tau_other 0.004899, num_buckets 2787,ClusteringTime 0.020934,avg_SearchingTime 0.087797, wrst_SearchingTime 0.100537 
Batch number: 33, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 279297.000000, avg_PtsChecked 209016.978500, wrst_Dist 0.535333, avg_Dist 0.000209, wrst_RelativeDist 1.554042, avg_RelativeDist 1.000171, avg_rho 0.999300, tau 6333.911172, tau_other 0.004783, num_buckets 2806,ClusteringTime 0.020934,avg_SearchingTime 0.090027, wrst_SearchingTime 0.103663 
Batch number: 34, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 287604.000000, avg_PtsChecked 213618.312100, wrst_Dist 1.810003, avg_Dist 0.000841, wrst_RelativeDist 4.202288, avg_RelativeDist -nan, avg_rho 0.998600, tau 6282.954362, tau_other 0.004689, num_buckets 2834,ClusteringTime 0.021510,avg_SearchingTime 0.092187, wrst_SearchingTime 0.108936 
Batch number: 35, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 295649.000000, avg_PtsChecked 218889.145700, wrst_Dist 1.884022, avg_Dist 0.000355, wrst_RelativeDist 6.888308, avg_RelativeDist 1.000788, avg_rho 0.999300, tau 6254.038132, tau_other 0.004598, num_buckets 2861,ClusteringTime 0.022676,avg_SearchingTime 0.093958, wrst_SearchingTime 0.107947 
Batch number: 36, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 305926.000000, avg_PtsChecked 231336.181600, wrst_Dist 3.333338, avg_Dist 0.000733, wrst_RelativeDist 2.281343, avg_RelativeDist 1.000280, avg_rho 0.999200, tau 6426.069305, tau_other 0.004506, num_buckets 2884,ClusteringTime 0.022663,avg_SearchingTime 0.097395, wrst_SearchingTime 0.111076 
Batch number: 37, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 314510.000000, avg_PtsChecked 246748.815100, wrst_Dist 4.228200, avg_Dist 0.000555, wrst_RelativeDist 3.341103, avg_RelativeDist 1.000412, avg_rho 0.999600, tau 6668.953584, tau_other 0.004415, num_buckets 2904,ClusteringTime 0.026117,avg_SearchingTime 0.101436, wrst_SearchingTime 0.124301 
Batch number: 38, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 323344.000000, avg_PtsChecked 254938.432500, wrst_Dist 1.724380, avg_Dist 0.000615, wrst_RelativeDist 3.215008, avg_RelativeDist 1.000487, avg_rho 0.999200, tau 6708.973208, tau_other 0.004328, num_buckets 2924,ClusteringTime 0.028204,avg_SearchingTime 0.104033, wrst_SearchingTime 0.116863 
Batch number: 39, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 332863.000000, avg_PtsChecked 263632.315200, wrst_Dist 1.408096, avg_Dist 0.000352, wrst_RelativeDist 1.549992, avg_RelativeDist 1.000151, avg_rho 0.999500, tau 6759.870553, tau_other 0.004253, num_buckets 2949,ClusteringTime 0.029908,avg_SearchingTime 0.106664, wrst_SearchingTime 0.119246 
Batch number: 40, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 342509.000000, avg_PtsChecked 275100.354100, wrst_Dist 0.279786, avg_Dist 0.000079, wrst_RelativeDist 2.346571, avg_RelativeDist 1.000162, avg_rho 0.999500, tau 6877.577628, tau_other 0.004170, num_buckets 2965,ClusteringTime 0.025539,avg_SearchingTime 0.109606, wrst_SearchingTime 0.122915 
Batch number: 41, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 351813.000000, avg_PtsChecked 283321.197800, wrst_Dist 0.252586, avg_Dist 0.000042, wrst_RelativeDist 1.057169, avg_RelativeDist 1.000011, avg_rho 0.999800, tau 6910.342220, tau_other 0.004088, num_buckets 2980,ClusteringTime 0.024262,avg_SearchingTime 0.112060, wrst_SearchingTime 0.124592 
Batch number: 42, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 361984.000000, avg_PtsChecked 290488.330300, wrst_Dist 3.421883, avg_Dist 0.000502, wrst_RelativeDist 1.783677, avg_RelativeDist 1.000225, avg_rho 0.999600, tau 6916.457981, tau_other 0.004013, num_buckets 2996,ClusteringTime 0.022999,avg_SearchingTime 0.114244, wrst_SearchingTime 0.126798 
Batch number: 43, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 370040.000000, avg_PtsChecked 299456.957000, wrst_Dist 3.696020, avg_Dist 0.000456, wrst_RelativeDist 1.707492, avg_RelativeDist 1.000127, avg_rho 0.999700, tau 6964.184921, tau_other 0.003944, num_buckets 3015,ClusteringTime 0.023333,avg_SearchingTime 0.118463, wrst_SearchingTime 0.182402 
Batch number: 44, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 380338.000000, avg_PtsChecked 306833.679100, wrst_Dist 1.193123, avg_Dist 0.000211, wrst_RelativeDist 2.164224, avg_RelativeDist 1.000171, avg_rho 0.999700, tau 6973.562442, tau_other 0.003869, num_buckets 3026,ClusteringTime 0.022422,avg_SearchingTime 0.120143, wrst_SearchingTime 0.137384 
Batch number: 45, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 389456.000000, avg_PtsChecked 312978.925300, wrst_Dist 1.081880, avg_Dist 0.000230, wrst_RelativeDist 2.448659, avg_RelativeDist 1.000218, avg_rho 0.999400, tau 6955.156780, tau_other 0.003801, num_buckets 3041,ClusteringTime 0.024315,avg_SearchingTime 0.122280, wrst_SearchingTime 0.136209 
Batch number: 46, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 398395.000000, avg_PtsChecked 322265.537700, wrst_Dist 2.498917, avg_Dist 0.000794, wrst_RelativeDist 4.013074, avg_RelativeDist -nan, avg_rho 0.999400, tau 7005.842617, tau_other 0.003739, num_buckets 3058,ClusteringTime 0.024773,avg_SearchingTime 0.124644, wrst_SearchingTime 0.145632 
Batch number: 47, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 409191.000000, avg_PtsChecked 328111.360200, wrst_Dist 4.400156, avg_Dist 0.000736, wrst_RelativeDist 2.767428, avg_RelativeDist -nan, avg_rho 0.999600, tau 6981.162582, tau_other 0.003681, num_buckets 3076,ClusteringTime 0.023140,avg_SearchingTime 0.126584, wrst_SearchingTime 0.147012 
Batch number: 48, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 416870.000000, avg_PtsChecked 330761.803000, wrst_Dist 1.448360, avg_Dist 0.000337, wrst_RelativeDist 2.542367, avg_RelativeDist 1.000257, avg_rho 0.999300, tau 6890.939805, tau_other 0.003619, num_buckets 3088,ClusteringTime 0.025451,avg_SearchingTime 0.127307, wrst_SearchingTime 0.143423 
Batch number: 49, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 426067.000000, avg_PtsChecked 336318.517300, wrst_Dist 1.961884, avg_Dist 0.000483, wrst_RelativeDist 3.614120, avg_RelativeDist 1.000474, avg_rho 0.999300, tau 6863.711847, tau_other 0.003571, num_buckets 3111,ClusteringTime 0.030051,avg_SearchingTime 0.129462, wrst_SearchingTime 0.147085 
Batch number: 50, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 435617.000000, avg_PtsChecked 343665.811800, wrst_Dist 2.310549, avg_Dist 0.000358, wrst_RelativeDist 1.862924, avg_RelativeDist 1.000142, avg_rho 0.999600, tau 6873.384970, tau_other 0.003525, num_buckets 3133,ClusteringTime 0.030864,avg_SearchingTime 0.131866, wrst_SearchingTime 0.153784 
