Batch number: 36, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 37243.000000, avg_PtsChecked 26075.031500, wrst_Dist 0.921433, avg_Dist 0.000574, wrst_RelativeDist 1.274819, avg_RelativeDist 1.000187, avg_rho 0.997800, tau 724.313674, tau_other 0.000039, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.068395, wrst_SearchingTime 0.080000 
Batch number: 37, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 38277.000000, avg_PtsChecked 26805.450900, wrst_Dist 1.073285, avg_Dist 0.000624, wrst_RelativeDist 1.383321, avg_RelativeDist 1.000194, avg_rho 0.997200, tau 724.478891, tau_other 0.000038, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.070326, wrst_SearchingTime 0.080000 
Batch number: 38, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 39311.000000, avg_PtsChecked 27530.755400, wrst_Dist 1.242588, avg_Dist 0.000843, wrst_RelativeDist 1.401888, avg_RelativeDist 1.000280, avg_rho 0.997400, tau 724.500808, tau_other 0.000037, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.072278, wrst_SearchingTime 0.080000 
Batch number: 39, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 40346.000000, avg_PtsChecked 28239.098500, wrst_Dist 0.624951, avg_Dist 0.000739, wrst_RelativeDist 1.180926, avg_RelativeDist 1.000232, avg_rho 0.996400, tau 724.086690, tau_other 0.000036, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.074196, wrst_SearchingTime 0.080000 
Batch number: 40, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 41380.000000, avg_PtsChecked 28982.939200, wrst_Dist 1.286247, avg_Dist 0.000587, wrst_RelativeDist 1.413553, avg_RelativeDist 1.000192, avg_rho 0.997600, tau 724.580726, tau_other 0.000035, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.076114, wrst_SearchingTime 0.090000 
Batch number: 41, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 42415.000000, avg_PtsChecked 29693.517600, wrst_Dist 0.647821, avg_Dist 0.000581, wrst_RelativeDist 1.255090, avg_RelativeDist 1.000193, avg_rho 0.997200, tau 724.239379, tau_other 0.000034, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.078081, wrst_SearchingTime 0.100000 
Batch number: 42, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 43450.000000, avg_PtsChecked 30422.971600, wrst_Dist 1.113243, avg_Dist 0.000962, wrst_RelativeDist 1.428342, avg_RelativeDist 1.000322, avg_rho 0.996900, tau 724.363710, tau_other 0.000034, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.080085, wrst_SearchingTime 0.090000 
Batch number: 43, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 44484.000000, avg_PtsChecked 31160.447700, wrst_Dist 0.774567, avg_Dist 0.000621, wrst_RelativeDist 1.238397, avg_RelativeDist 1.000196, avg_rho 0.997600, tau 724.668821, tau_other 0.000033, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.081961, wrst_SearchingTime 0.100000 
Batch number: 44, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 45518.000000, avg_PtsChecked 31880.056000, wrst_Dist 0.617644, avg_Dist 0.000379, wrst_RelativeDist 1.274198, avg_RelativeDist 1.000126, avg_rho 0.997900, tau 724.553973, tau_other 0.000032, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.083905, wrst_SearchingTime 0.100000 
Batch number: 45, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 46553.000000, avg_PtsChecked 32581.464500, wrst_Dist 0.865493, avg_Dist 0.000857, wrst_RelativeDist 1.332156, avg_RelativeDist 1.000280, avg_rho 0.996900, tau 724.039785, tau_other 0.000031, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.085857, wrst_SearchingTime 0.100000 
