Batch number: 48, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 394444.000000, avg_PtsChecked 261741.692600, wrst_Dist 0.920762, avg_Dist 0.000384, wrst_RelativeDist 1.191812, avg_RelativeDist -nan, avg_rho 0.997800, tau 5453.006459, tau_other 0.001186, num_buckets 1834,ClusteringTime 0.020000,avg_SearchingTime 0.168383, wrst_SearchingTime 0.310000 
Batch number: 49, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 403463.000000, avg_PtsChecked 268015.277400, wrst_Dist 0.512057, avg_Dist 0.000393, wrst_RelativeDist 1.302283, avg_RelativeDist -nan, avg_rho 0.997600, tau 5469.754236, tau_other 0.001169, num_buckets 1845,ClusteringTime 0.030000,avg_SearchingTime 0.171625, wrst_SearchingTime 0.330000 
Batch number: 50, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 416086.000000, avg_PtsChecked 274067.861600, wrst_Dist 1.301440, avg_Dist 0.000507, wrst_RelativeDist 1.363231, avg_RelativeDist -nan, avg_rho 0.997500, tau 5481.412046, tau_other 0.001149, num_buckets 1851,ClusteringTime 0.020000,avg_SearchingTime 0.170187, wrst_SearchingTime 0.330000 
Batch number: 51, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 421432.000000, avg_PtsChecked 279144.719100, wrst_Dist 0.552633, avg_Dist 0.000497, wrst_RelativeDist 1.203622, avg_RelativeDist -nan, avg_rho 0.997200, tau 5473.480600, tau_other 0.001136, num_buckets 1867,ClusteringTime 0.020000,avg_SearchingTime 0.155555, wrst_SearchingTime 0.370000 
Batch number: 52, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 426425.000000, avg_PtsChecked 285962.681000, wrst_Dist 0.612594, avg_Dist 0.000383, wrst_RelativeDist 1.268414, avg_RelativeDist -nan, avg_rho 0.998100, tau 5499.337320, tau_other 0.001121, num_buckets 1879,ClusteringTime 0.020000,avg_SearchingTime 0.156024, wrst_SearchingTime 0.360000 
Batch number: 53, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 439410.000000, avg_PtsChecked 292778.673100, wrst_Dist 0.386100, avg_Dist 0.000338, wrst_RelativeDist 1.156905, avg_RelativeDist -nan, avg_rho 0.997600, tau 5524.181149, tau_other 0.001108, num_buckets 1892,ClusteringTime 0.020000,avg_SearchingTime 0.158226, wrst_SearchingTime 0.370000 
Batch number: 54, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 445597.000000, avg_PtsChecked 298037.147400, wrst_Dist 0.924169, avg_Dist 0.000325, wrst_RelativeDist 1.317829, avg_RelativeDist -nan, avg_rho 0.998100, tau 5519.261626, tau_other 0.001098, num_buckets 1910,ClusteringTime 0.020000,avg_SearchingTime 0.161398, wrst_SearchingTime 0.370000 
Batch number: 55, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 457123.000000, avg_PtsChecked 304746.416400, wrst_Dist 0.386995, avg_Dist 0.000258, wrst_RelativeDist 1.172296, avg_RelativeDist -nan, avg_rho 0.997900, tau 5540.899344, tau_other 0.001085, num_buckets 1923,ClusteringTime 0.020000,avg_SearchingTime 0.167155, wrst_SearchingTime 0.370000 
Batch number: 56, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 462715.000000, avg_PtsChecked 310913.891500, wrst_Dist 0.382760, avg_Dist 0.000283, wrst_RelativeDist 1.158000, avg_RelativeDist -nan, avg_rho 0.998000, tau 5552.089298, tau_other 0.001072, num_buckets 1934,ClusteringTime 0.030000,avg_SearchingTime 0.177210, wrst_SearchingTime 0.400000 
Batch number: 57, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 470434.000000, avg_PtsChecked 316139.771900, wrst_Dist 0.685973, avg_Dist 0.000304, wrst_RelativeDist 1.175605, avg_RelativeDist -nan, avg_rho 0.998500, tau 5546.367251, tau_other 0.001059, num_buckets 1945,ClusteringTime 0.020000,avg_SearchingTime 0.169557, wrst_SearchingTime 0.360000 
Batch number: 58, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 477299.000000, avg_PtsChecked 321450.749800, wrst_Dist 0.430185, avg_Dist 0.000297, wrst_RelativeDist 1.140803, avg_RelativeDist -nan, avg_rho 0.997600, tau 5542.309730, tau_other 0.001048, num_buckets 1958,ClusteringTime 0.020000,avg_SearchingTime 0.170310, wrst_SearchingTime 0.290000 
Batch number: 59, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 485252.000000, avg_PtsChecked 327663.172200, wrst_Dist 0.861532, avg_Dist 0.000247, wrst_RelativeDist 1.272841, avg_RelativeDist -nan, avg_rho 0.998600, tau 5553.668625, tau_other 0.001037, num_buckets 1971,ClusteringTime 0.030000,avg_SearchingTime 0.174649, wrst_SearchingTime 0.380000 
Batch number: 60, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 499931.000000, avg_PtsChecked 334643.691400, wrst_Dist 0.517689, avg_Dist 0.000234, wrst_RelativeDist 1.115463, avg_RelativeDist -nan, avg_rho 0.998600, tau 5577.450631, tau_other 0.001025, num_buckets 1981,ClusteringTime 0.020000,avg_SearchingTime 0.177725, wrst_SearchingTime 0.370000 
Batch number: 61, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 501959.000000, avg_PtsChecked 340161.465700, wrst_Dist 0.339267, avg_Dist 0.000234, wrst_RelativeDist 1.111103, avg_RelativeDist -nan, avg_rho 0.997900, tau 5576.473235, tau_other 0.001014, num_buckets 1994,ClusteringTime 0.020000,avg_SearchingTime 0.183861, wrst_SearchingTime 0.420000 
