Batch number: 27, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 88184.000000, avg_PtsChecked 62048.373700, wrst_Dist 0.057800, avg_Dist 0.000059, wrst_RelativeDist 1.822636, avg_RelativeDist 1.000443, avg_rho 0.998200, tau 2298.110896, tau_other 0.004330, num_buckets 4676,ClusteringTime 0.640000,avg_SearchingTime 0.114630, wrst_SearchingTime 0.190000 
Batch number: 28, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 94317.000000, avg_PtsChecked 64646.890000, wrst_Dist 0.019678, avg_Dist 0.000005, wrst_RelativeDist 1.080164, avg_RelativeDist 1.000021, avg_rho 0.999700, tau 2308.840588, tau_other 0.004193, num_buckets 4696,ClusteringTime 0.640000,avg_SearchingTime 0.117558, wrst_SearchingTime 0.200000 
Batch number: 29, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 102877.000000, avg_PtsChecked 13177.284000, wrst_Dist 0.048298, avg_Dist 0.001157, wrst_RelativeDist 1.013278, avg_RelativeDist 1.000318, avg_rho 0.107200, tau 454.393647, tau_other 0.004058, num_buckets 4707,ClusteringTime 0.680000,avg_SearchingTime 0.103092, wrst_SearchingTime 0.200000 
Batch number: 30, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 22602.000000, avg_PtsChecked 16271.699800, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 542.395417, tau_other 0.003946, num_buckets 4735,ClusteringTime 0.810000,avg_SearchingTime 0.104734, wrst_SearchingTime 0.180000 
Batch number: 31, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 34062.000000, avg_PtsChecked 28704.185100, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 925.950714, tau_other 0.003819, num_buckets 4736,ClusteringTime 0.870000,avg_SearchingTime 0.108800, wrst_SearchingTime 0.180000 
Batch number: 32, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 74141.000000, avg_PtsChecked 41641.645100, wrst_Dist 0.013671, avg_Dist 0.000003, wrst_RelativeDist 1.105267, avg_RelativeDist 1.000020, avg_rho 0.999600, tau 1301.314423, tau_other 0.003700, num_buckets 4736,ClusteringTime 0.860000,avg_SearchingTime 0.111730, wrst_SearchingTime 0.230000 
Batch number: 33, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 56286.000000, avg_PtsChecked 48711.843600, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 1476.131234, tau_other 0.003589, num_buckets 4737,ClusteringTime 0.850000,avg_SearchingTime 0.114670, wrst_SearchingTime 0.200000 
Batch number: 34, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 121672.000000, avg_PtsChecked 64480.803800, wrst_Dist 0.037755, avg_Dist 0.005002, wrst_RelativeDist 1.354342, avg_RelativeDist 1.002297, avg_rho 0.765100, tau 1896.513195, tau_other 0.003483, num_buckets 4737,ClusteringTime 0.810000,avg_SearchingTime 0.118409, wrst_SearchingTime 0.200000 
Batch number: 35, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 82859.000000, avg_PtsChecked 82026.727300, wrst_Dist 0.032527, avg_Dist 0.000016, wrst_RelativeDist 1.701274, avg_RelativeDist 1.000402, avg_rho 0.998400, tau 2343.644216, tau_other 0.003387, num_buckets 4742,ClusteringTime 0.800000,avg_SearchingTime 0.120976, wrst_SearchingTime 0.210000 
Batch number: 36, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 92756.000000, avg_PtsChecked 91999.848600, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 2555.576906, tau_other 0.003294, num_buckets 4744,ClusteringTime 0.820000,avg_SearchingTime 0.123947, wrst_SearchingTime 0.210000 
Batch number: 37, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 102962.000000, avg_PtsChecked 102029.915100, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 2757.592849, tau_other 0.003205, num_buckets 4744,ClusteringTime 0.750000,avg_SearchingTime 0.126201, wrst_SearchingTime 0.220000 
Batch number: 38, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 112956.000000, avg_PtsChecked 112036.535700, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 2948.359370, tau_other 0.003121, num_buckets 4744,ClusteringTime 0.720000,avg_SearchingTime 0.129542, wrst_SearchingTime 0.220000 
Batch number: 39, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 122845.000000, avg_PtsChecked 122005.882700, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 3128.387251, tau_other 0.003041, num_buckets 4744,ClusteringTime 0.990000,avg_SearchingTime 0.132724, wrst_SearchingTime 0.230000 
Batch number: 40, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 132882.000000, avg_PtsChecked 114195.835300, wrst_Dist 2.092124, avg_Dist 0.003861, wrst_RelativeDist 2.351927, avg_RelativeDist 1.002332, avg_rho 0.962800, tau 2854.924432, tau_other 0.002965, num_buckets 4744,ClusteringTime 0.760000,avg_SearchingTime 0.131548, wrst_SearchingTime 0.230000 
Batch number: 41, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 68055.000000, avg_PtsChecked 45931.701900, wrst_Dist 0.375791, avg_Dist 0.005018, wrst_RelativeDist 4.522133, avg_RelativeDist 1.029218, avg_rho 0.935700, tau 1120.296615, tau_other 0.003222, num_buckets 5284,ClusteringTime 0.780000,avg_SearchingTime 0.133377, wrst_SearchingTime 0.240000 
Batch number: 42, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 65740.000000, avg_PtsChecked 42746.378500, wrst_Dist 0.203123, avg_Dist 0.000554, wrst_RelativeDist 3.830234, avg_RelativeDist 1.005437, avg_rho 0.990000, tau 1017.781094, tau_other 0.003392, num_buckets 5699,ClusteringTime 0.880000,avg_SearchingTime 0.147010, wrst_SearchingTime 0.220000 
Batch number: 43, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 73600.000000, avg_PtsChecked 47186.117800, wrst_Dist 0.140669, avg_Dist 0.000197, wrst_RelativeDist 3.816209, avg_RelativeDist 1.002331, avg_rho 0.995600, tau 1097.362550, tau_other 0.003399, num_buckets 5847,ClusteringTime 0.840000,avg_SearchingTime 0.154295, wrst_SearchingTime 0.200000 
Batch number: 44, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 78695.000000, avg_PtsChecked 46090.147400, wrst_Dist 0.210725, avg_Dist 0.000302, wrst_RelativeDist 5.839364, avg_RelativeDist 1.003083, avg_rho 0.995100, tau 1047.513825, tau_other 0.003363, num_buckets 5918,ClusteringTime 0.840000,avg_SearchingTime 0.157607, wrst_SearchingTime 0.190000 
Batch number: 45, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 196497.000000, avg_PtsChecked 65396.597600, wrst_Dist 0.203092, avg_Dist 0.001078, wrst_RelativeDist 3.499140, avg_RelativeDist 1.002214, avg_rho 0.931900, tau 1453.272257, tau_other 0.003338, num_buckets 6009,ClusteringTime 0.860000,avg_SearchingTime 0.168363, wrst_SearchingTime 0.250000 
Batch number: 46, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 119240.000000, avg_PtsChecked 48772.231600, wrst_Dist 0.371112, avg_Dist 0.005028, wrst_RelativeDist 6.855513, avg_RelativeDist 1.026826, avg_rho 0.911700, tau 1060.276507, tau_other 0.003664, num_buckets 6742,ClusteringTime 0.960000,avg_SearchingTime 0.195131, wrst_SearchingTime 0.250000 
Batch number: 47, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 83839.000000, avg_PtsChecked 31626.627600, wrst_Dist 0.402668, avg_Dist 0.001949, wrst_RelativeDist 7.312590, avg_RelativeDist 1.013142, avg_rho 0.972400, tau 672.913699, tau_other 0.004061, num_buckets 7634,ClusteringTime 1.240000,avg_SearchingTime 0.235901, wrst_SearchingTime 0.310000 
Batch number: 48, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 77190.000000, avg_PtsChecked 29162.033300, wrst_Dist 0.288216, avg_Dist 0.000829, wrst_RelativeDist 3.778848, avg_RelativeDist 1.006264, avg_rho 0.986100, tau 607.548436, tau_other 0.004192, num_buckets 8049,ClusteringTime 1.130000,avg_SearchingTime 0.249221, wrst_SearchingTime 0.360000 
Batch number: 49, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 114310.000000, avg_PtsChecked 28484.681300, wrst_Dist 0.267973, avg_Dist 0.000533, wrst_RelativeDist 4.878350, avg_RelativeDist 1.003977, avg_rho 0.992100, tau 581.325840, tau_other 0.004244, num_buckets 8319,ClusteringTime 1.140000,avg_SearchingTime 0.266298, wrst_SearchingTime 0.320000 
Batch number: 50, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 83640.000000, avg_PtsChecked 36034.967500, wrst_Dist 0.263302, avg_Dist 0.000511, wrst_RelativeDist 4.334022, avg_RelativeDist 1.003986, avg_rho 0.992200, tau 720.706557, tau_other 0.004253, num_buckets 8505,ClusteringTime 0.900000,avg_SearchingTime 0.250210, wrst_SearchingTime 0.330000 
Batch number: 51, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 87680.000000, avg_PtsChecked 33096.932200, wrst_Dist 0.269307, avg_Dist 0.000346, wrst_RelativeDist 3.904034, avg_RelativeDist 1.002587, avg_rho 0.994700, tau 648.965945, tau_other 0.004256, num_buckets 8682,ClusteringTime 0.820000,avg_SearchingTime 0.233328, wrst_SearchingTime 0.310000 
Batch number: 52, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 90668.000000, avg_PtsChecked 46103.949700, wrst_Dist 0.174913, avg_Dist 0.000216, wrst_RelativeDist 3.277850, avg_RelativeDist 1.001726, avg_rho 0.995700, tau 886.623284, tau_other 0.004245, num_buckets 8829,ClusteringTime 0.800000,avg_SearchingTime 0.230429, wrst_SearchingTime 0.300000 
